time , pgn , destination , source , priority , data
14.204977,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.220937,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.251394,61184,6,0,6, 64 0E 21 00 FF FF FF FF 
14.266862,126720,6,3,3, 01 01 FF FF FF FF FF F5 
14.279329,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
14.289311,65265,255,71,6, FF 00 00 FF FF FF FF FF 
14.298794,61445,255,3,6, FF FF FF FF FF FF FF FF 
14.318755,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
14.339217,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.359693,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.375151,61184,255,0,6, 64 10 0B 0B 00 00 00 7D 
14.390622,65271,255,0,6, FF FF FF FF FF FF A0 00 
14.406106,126720,6,71,3, 01 04 FF FF FF FF FF F1 
14.422063,0,40,104,4, 
14.437035,0,55,180,4, 
14.452506,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
14.467989,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.48345,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.49892,126720,6,3,3, 01 01 FF FF FF FF FF F5 
14.514393,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
14.529875,65097,255,71,3, FF FF FF FF FF FF FF FF 
14.545833,65091,255,71,3, FF FF FF FF FF FF FF FF 
14.560805,65092,255,71,3, 00 00 FF FF 3F FF FF FF 
14.576287,65534,255,6,3, 5C 27 1D 27 1D FF FF FF 
14.591757,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
14.607718,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.62269,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.638178,126720,6,3,3, 01 01 FF FF FF FF FF F5 
14.653632,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
14.669602,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
14.684584,60928,255,71,6, 4D 74 30 04 00 34 02 20 
14.700047,60928,255,6,6, 4D 74 30 04 00 0E 00 20 
14.715517,60928,255,3,6, 4D 74 30 04 00 03 02 20 
14.731487,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.74646,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.761931,65266,255,0,6, 00 00 FF FF FF FF FF FF 
14.777402,126720,6,3,3, 01 01 FF FF FF FF FF F5 
14.793374,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
14.808344,65265,255,71,6, FF 00 00 FF FF FF FF FF 
14.823816,61445,255,3,6, FF FF FF FF FF FF FF FF 
14.839287,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
14.854759,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.87023,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.885715,61184,6,0,6, 64 0E 2B 00 FF FF FF FF 
14.901185,126720,6,3,3, 01 01 FF FF FF FF FF F5 
14.917142,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
14.932115,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
14.947586,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
14.963057,61184,255,0,3, 64 06 00 7D FF FF FF FF 
14.979029,61184,255,0,6, 64 10 0B 0B 00 00 00 7D 
14.994,65237,255,0,6, FF FF FC FF FF FF FF FF 
15.009471,126720,6,71,3, 01 04 FF FF FF FF FF F1 
15.024941,0,40,124,4, 13 00 00 00 13 00 00 00 
15.040911,0,40,104,4, 
15.055884,0,55,180,4, 
15.071368,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.086826,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.102797,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.117778,126720,6,3,3, 01 01 FF FF FF FF FF F5 
15.133239,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
15.148711,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.164681,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.179653,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.195144,64947,255,0,6, FF FF 34 28 FF FF FF FF 
15.210595,126720,6,3,3, 01 01 FF FF FF FF FF F5 
15.226566,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
15.241551,65097,255,71,3, FF FF FF FF FF FF FF FF 
15.272481,65091,255,71,3, FF FF FF FF FF FF FF FF 
15.288452,65092,255,71,3, 00 00 FF FF 3F FF FF FF 
15.303422,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.318894,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.334379,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.448153,65266,255,0,6, 00 00 FF FF FF FF FF FF 
15.462626,126720,6,3,3, 01 01 FF FF FF FF FF F5 
15.473606,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
15.49307,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.503051,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.523015,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.533494,61184,6,0,6, 64 0E 35 00 FF FF FF FF 
15.552958,126720,6,3,3, 01 01 FF FF FF FF FF F5 
15.57342,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
15.582902,65265,255,71,6, FF 00 00 FF FF FF FF FF 
15.612847,61445,255,3,6, FF FF FF FF FF FF FF FF 
15.633309,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.64329,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.663752,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.673734,61184,255,0,6, 64 10 0B 0B 00 00 00 7D 
15.693199,65247,255,0,6, 7D 26 1D FF FF FF FF FF 
15.713666,126720,6,71,3, 01 04 FF FF FF FF FF F1 
15.748095,126720,6,3,3, 01 01 FF FF FF FF FF F5 
15.753585,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
15.779038,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.787531,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.825451,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.833936,65263,255,0,6, FF FF FF 00 FF FF FF FA 
15.856893,126720,6,3,3, 01 01 FF FF FF FF FF F5 
15.871864,61184,0,6,1, 64 15 10 F0 00 00 93 0E 
15.887336,65097,255,71,3, FF FF FF FF FF FF FF FF 
15.902806,65535,255,71,3, 5D FF FF F3 FF FF FF FF 
15.918778,65091,255,71,3, 00 00 FF FF 3F FF FF FF 
15.93375,61444,255,0,3, F0 FF 7D 00 00 FF FF FF 
15.949234,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
15.964193,61184,255,0,3, 64 06 00 7D FF FF FF FF 
15.980662,61444,255,0,3, F0 FF 7D 46 03 FF FF FF 
15.995652,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
16.011119,61184,255,0,3, 64 06 FB 7C FF FF FF FF 
16.026577,65266,255,0,6, 00 00 FF FF FF FF FF FF 
16.042547,61444,255,0,3, F0 FF 7D 24 05 FF FF FF 
16.073,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
16.088461,61184,255,0,3, 64 06 F8 7C FF FF FF FF 
16.104431,61184,6,0,6, 64 0E 3F 00 FF FF FF FF 
16.119417,61444,255,0,3, F0 FF 7D 2E 05 FF FF FF 
16.134884,61443,255,0,3, FF 00 00 FF 06 FF FF FF 
16.150346,61184,255,0,3, 64 06 F8 7C FF FF FF FF 
16.166316,61184,255,0,6, 64 10 00 00 00 00 00 7D 
